ORIGIN;;DESTINATION;;TTE;;20' E;20' (< 8tn);20' (< 16,5tn);20' (< 22tn);20' (< 32tn);20' (> 32tn);25' E;25' (< 8tn);25' (< 16,5tn);25' (< 22tn);25' (< 32tn);25' (> 32tn);30' E;30' (< 8tn);30' (< 16,5tn);30' (< 22tn);30' (< 32tn);30' (> 32tn);40' E;40' (< 8tn);40' (< 16,5tn);40' (< 22tn);40' (< 32tn);40'(> 32tn);45' E;45' (< 8tn);45' (< 16,5tn);45' (< 22tn);45' (< 32tn);45' (> 32tn);BOOKING FEE;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RED MULTICLIENTE RENFE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORIGIN;INC;DESTINATION;INC;TTE;FREQUENCE;20' E;20' F;20' F;20' F;20' F (>20,5 tn);20' F (>30 tn);;;;;;;30' E;30' F;30' F;30' F;30' F;30' F (>30tn);40' E;40' F;40' F;40' F;40' F;40' F;45' E;45' F;45' F;45' F;45' F;45' F;0;;;;
MURCIA;FOT;MADRID ABROÑIGAL;FOT;3;2;181,64;210,09;210,09;227,95;243,57;277,04;;;;;;;196,82;227,95;227,95;227,95;243,57;277,04;210,09;243,57;243,57;243,57;243,57;277,04;238,55;277,04;277,04;277,04;277,04;277,04;30;;;;
MURCIA;FOT;TARRAGONA CONSTANTÍ;FOT;3;2;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
SAN ROQUE;FOT;BARCELONA MORROT;FOT;3;3;455,17;531,18;531,18;578,88;620,61;710,05;;;;;;;495,71;578,88;578,88;578,88;620,61;710,05;531,18;620,61;620,61;620,61;620,61;710,05;607,19;710,05;710,05;710,05;710,05;710,05;30;;;;
SAN ROQUE;FOT;BILBAO MERCANCÍAS;FOT;3;2;433,71;506,66;506,66;552,44;592,49;678,32;;;;;;;472,62;552,44;552,44;552,44;592,49;678,32;506,66;592,49;592,49;592,49;592,49;678,32;579,61;678,32;678,32;678,32;678,32;678,32;30;;;;
SAN ROQUE;FOT;BILBAO NOATUM;FOT;3;2;448,71;541,66;541,66;587,44;627,49;7048,32;;;;;;;497,62;587,44;587,44;587,44;627,49;7048,32;539,66;627,49;627,49;627,49;627,49;7048,32;619,61;7048,32;7048,32;7048,32;7048,32;7048,32;30;;;;
SAN ROQUE;FOT;TARRAGONA CONSTANTÍ;FOT;3;3;441,33;515,61;515,61;562,22;603;690,39;;;;;;;480,95;562,22;562,22;562,22;603;690,39;515,61;603;603;603;603;690,39;589,89;690,39;690,39;690,39;690,39;690,39;30;;;;
SAN ROQUE;FOT;MADRID ABROÑIGAL;FOT;2;5;261,88;304,83;304,83;331,78;355,36;405,9;;;;;;;284,79;331,78;331,78;331,78;355,36;405,9;304,83;355,36;355,36;355,36;355,36;405,9;347,78;405,9;405,9;405,9;405,9;405,9;30;;;;
SAN ROQUE;FOT;VALENCIA SILLA;FOT;3;2;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
SAN ROQUE;FOT;ZARAGOZA PLAZA;FOT;3;2;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
SEVILLA LA NEGRILLA;FOT;BARCELONA MORROT;FOT;3;3;365,15;425,28;425,28;463,01;496,02;566,76;;;;;;;397,22;463,01;463,01;463,01;496,02;566,76;425,28;496,02;496,02;496,02;496,02;566,76;485,4;566,76;566,76;566,76;566,76;566,76;30;;;;
SEVILLA LA NEGRILLA;FOT;BILBAO MERCANCÍAS;FOT;3;3;319,34;372,09;372,09;405,19;434,16;496,22;;;;;;;347,48;405,19;405,19;405,19;434,16;496,22;372,09;434,16;434,16;434,16;434,16;496,22;424,84;496,22;496,22;496,22;496,22;496,22;30;;;;
SEVILLA LA NEGRILLA;FOT;BILBAO NOATUM;FOT;3;3;344,24;406,99;406,99;440,09;474,06;541,12;;;;;;;380,38;440,09;440,09;440,09;474,06;541,12;411,99;474,06;474,06;474,06;474,06;541,12;469,74;541,12;541,12;541,12;541,12;541,12;30;;;;
SEVILLA LA NEGRILLA;FOT;MADRID ABROÑIGAL;FOT;2;3;222,38;258,03;258,03;280,39;299,96;341,89;;;;;;;241,39;280,39;280,39;280,39;299,96;341,89;258,03;299,96;299,96;299,96;299,96;341,89;293,67;341,89;341,89;341,89;341,89;341,89;30;;;;
SEVILLA LA NEGRILLA;FOT;VALENCIA SILLA;FOT;2;3;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
SEVILLA LA NEGRILLA;FOT;TARRAGONA CONSTANTÍ;FOT;3;3;355,53;414,69;414,69;451,81;484,29;553,89;;;;;;;387,08;451,81;451,81;451,81;484,29;553,89;414,69;484,29;484,29;484,29;484,29;553,89;473,84;553,89;553,89;553,89;553,89;553,89;30;;;;
SEVILLA LA NEGRILLA;FOT;VIGO GUIXAR;FOT;5;3;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
SEVILLA LA NEGRILLA;FOT;ZARAGOZA PLAZA;FOT;3;3;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
VALENCIA SILLA;FOT;BILBAO MERCANCÍAS;FOT;3;3;270,94;315,15;315,15;342,89;367,16;419,18;;;;;;;294,52;342,89;342,89;342,89;367,16;419,18;315,15;367,16;367,16;367,16;367,16;419,18;359,35;419,18;419,18;419,18;419,18;419,18;30;;;;
VALENCIA SILLA;FOT;BILBAO NOATUM;FOT;3;3;295,84;350,05;350,05;377,79;402,06;459,08;;;;;;;327,42;377,79;377,79;377,79;402,06;459,08;348,05;402,06;402,06;402,06;402,06;459,08;394,26;459,08;459,08;459,08;459,08;459,08;30;;;;
VALENCIA SILLA;FOT;MADRID ABROÑIGAL;FOT;3;3;201,11;233;233;253,01;270,51;308,03;;;;;;;218,12;253,01;253,01;253,01;270,51;308,03;233;270,51;270,51;270,51;270,51;308,03;264,88;308,03;308,03;308,03;308,03;308,03;30;;;;
VALENCIA SILLA;FOT;SAN ROQUE;FOT;3;2;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
VALENCIA SILLA;FOT;SEVILLA LA NEGRILLA;FOT;3;3;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
VALENCIA SILLA;FOT;VIGO GUIXAR;FOT;5;3;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
VIGO GUIXAR;FOT;BARCELONA MORROT;FOT;3;3;412,98;481,56;481,56;524,6;562,26;642,95;;;;;;;449,56;524,6;524,6;524,6;562,26;642,95;487,56;562,26;562,26;562,26;562,26;642,95;550,15;642,95;642,95;642,95;642,95;642,95;30;;;;
VIGO GUIXAR;FOT;TARRAGONA CONSTANTÍ;FOT;3;3;384,74;448,35;448,35;488,26;523,18;598,01;;;;;;;418,67;488,26;488,26;488,26;523,18;598,01;448,35;523,18;523,18;523,18;523,18;598,01;511,95;598,01;598,01;598,01;598,01;598,01;30;;;;
VIGO GUIXAR;FOT;MADRID ABROÑIGAL;FOT;4;3;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
VIGO GUIXAR;FOT;SEVILLA LA NEGRILLA;FOT;5;3;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
VIGO GUIXAR;FOT;VALENCIA SILLA;FOT;4;3;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
VIGO GUIXAR;FOT;ZARAGOZA PLAZA;FOT;2;3;291,8;339,71;339,71;369,77;396,07;451,44;;;;;;;317,35;369,77;369,77;369,77;396,07;451,44;339,71;396,07;396,07;396,07;396,07;451,44;387,62;451,44;451,44;451,44;451,44;451,44;30;;;;
ZARAGOZA PLAZA;FOT;A CORUÑA;FOT;3;ON DEMAND;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
