ORIGIN;;DESTINATION;;TTE;;20' E;20' (< 8tn);20' (< 16,5tn);20' (< 22tn);20' (< 32tn);20' (> 32tn);25' E;25' (< 8tn);25' (< 16,5tn);25' (< 22tn);25' (< 32tn);25' (> 32tn);30' E;30' (< 8tn);30' (< 16,5tn);30' (< 22tn);30' (< 32tn);30' (> 32tn);40' E;40' (< 8tn);40' (< 16,5tn);40' (< 22tn);40' (< 32tn);40'(> 32tn);45' E;45' (< 8tn);45' (< 16,5tn);45' (< 22tn);45' (< 32tn);45' (> 32tn);BOOKING FEE;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RED MULTICLIENTE RENFE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORIGIN;INC;DESTINATION;INC;TTE;FREQUENCE;20' E;20' F;20' F;20' F;20' F (>20,5 tn);20' F (>30 tn);;;;;;;30' E;30' F;30' F;30' F;30' F;30' F (>30tn);40' E;40' F;40' F;40' F;40' F;40' F;45' E;45' F;45' F;45' F;45' F;45' F;0;;;;
HAMBURG BILLWERDER;FOT;BARCELONA MORROT;FOT;6;6;789;789;893;1089;1233;1407;;;;;;;1009;1009;1059;1276;1301;1475;1292;1292;1292;1392;1442;1641;1384;1384;1434;1633;1683;1713;;;;;
BARCELONA MORROT;FOT;HAMBURG BILLWERDER;FOT;3;3;789;789;893;1089;1233;1407;;;;;;;1009;1009;1059;1276;1301;1475;1292;1292;1292;1392;1442;1641;1384;1384;1434;1633;1683;1713;;;;;
KÖLN-EIFELTOR;FOT;BARCELONA MORROT;FOT;5;3;581;581;693;777;931;1114;;;;;;;693;693;746;903;931;1114;872;872;872;977;1030;1240;966;966;1019;1229;1282;1314;;;;;
BARCELONA MORROT;FOT;KÖLN-EIFELTOR;FOT;3;3;581;581;693;777;931;1114;;;;;;;693;693;746;903;931;1114;872;872;872;977;1030;1240;966;966;1019;1229;1282;1314;;;;;
MÜNCHEN RIEM;FOT;BARCELONA MORROT;FOT;5;5;735;735;839;1004;1148;1322;;;;;;;924;924;974;1174;1199;1373;1175;1175;1175;1275;1325;1524;1267;1267;1317;1516;1566;1596;;;;;
BARCELONA MORROT;FOT;MÜNCHEN RIEM;FOT;3;3;735;735;839;1004;1148;1322;;;;;;;924;924;974;1174;1199;1373;1175;1175;1175;1275;1325;1524;1267;1267;1317;1516;1566;1596;;;;;
KÖLN-EIFELTOR;FOT;GRANOLLERS;FOT;3;5;581;581;693;777;931;1114;;;;;;;693;693;746;903;931;1114;872;872;872;977;1030;1240;966;966;1019;1229;1282;1314;;;;;
KÖLN-EIFELTOR;FOT;MADRID ABROÑIGAL;FOT;4;3;685;685;839;949;1158;1389;;;;;;;839;839;908;1114;1158;1389;1061;1061;1061;1199;1267;1542;1161;1161;1230;1504;1573;1614;;;;;
KÖLN-EIFELTOR;FOT;MURCIA;FOT;8;3;792;792;984;1117;1374;1649;;;;;;;984;984;1067;1316;1374;1649;1249;1249;1249;1415;1498;1831;1363;1363;1446;1779;1862;1912;;;;;
KÖLN-EIFELTOR;FOT;SAN ROQUE;FOT;6;3;883;883;1107;1259;1559;1870;;;;;;;1107;1107;1202;1488;1559;1870;1409;1409;1409;1600;1695;2077;1535;1535;1631;2013;2108;2165;;;;;
KÖLN-EIFELTOR;FOT;SEVILLA LA NEGRILLA;FOT;6;3;848;848;1059;1204;1488;1785;;;;;;;1059;1059;1150;1422;1488;1785;1347;1347;1347;1529;1619;1982;1469;1469;1560;1922;2013;2067;;;;;
KÖLN-EIFELTOR;FOT;TARRAGONA CONSTANTÍ;FOT;3;5;611;611;734;824;992;1187;;;;;;;734;734;790;960;992;1187;924;924;924;1038;1094;1321;1023;1023;1080;1306;1363;1397;;;;;
KÖLN-EIFELTOR;FOT;VALENCIA SILLA;FOT;8;3;759;759;939;1064;1307;1568;;;;;;;939;939;1017;1253;1307;1568;1190;1190;1190;1348;1426;1741;1300;1300;1379;1693;1772;1819;;;;;
KÖLN-EIFELTOR;FOT;VIGO GUIXAR;FOT;8;3;822;822;1024;1163;1434;1721;;;;;;;1024;1024;1111;1372;1434;1721;1301;1301;1301;1475;1562;1911;1419;1419;1506;1855;1942;1994;;;;;
KÖLN-EIFELTOR;FOT;ZARAGOZA PLAZA;FOT;8;3;672;672;821;927;1130;1355;;;;;;;821;821;887;1088;1130;1355;1037;1037;1037;1171;1238;1505;1135;1135;1202;1469;1536;1576;;;;;
GRANOLLERS;FOT;KÖLN-EIFELTOR;FOT;3;5;581;581;693;777;931;1114;;;;;;;693;693;746;903;931;1114;872;872;872;977;1030;1240;966;966;1019;1229;1282;1314;;;;;
MADRID ABROÑIGAL;FOT;KÖLN-EIFELTOR;FOT;5;5;685;685;839;949;1158;1389;;;;;;;839;839;908;1114;1158;1389;1061;1061;1061;1199;1267;1542;1161;1161;1230;1504;1573;1614;;;;;
MURCIA;FOT;KÖLN-EIFELTOR;FOT;8;2;792;792;984;1117;1374;1649;;;;;;;984;984;1067;1316;1374;1649;1249;1249;1249;1415;1498;1831;1363;1363;1446;1779;1862;1912;;;;;
SAN ROQUE;FOT;KÖLN-EIFELTOR;FOT;7;3;883;883;1107;1259;1559;1870;;;;;;;1107;1107;1202;1488;1559;1870;1409;1409;1409;1600;1695;2077;1535;1535;1631;2013;2108;2165;;;;;
SEVILLA LA NEGRILLA;FOT;KÖLN-EIFELTOR;FOT;6;5;848;848;1059;1204;1488;1785;;;;;;;1059;1059;1150;1422;1488;1785;1347;1347;1347;1529;1619;1982;1469;1469;1560;1922;2013;2067;;;;;
TARRAGONA CONSTANTÍ;FOT;KÖLN-EIFELTOR;FOT;3;5;611;611;734;824;992;1187;;;;;;;734;734;790;960;992;1187;924;924;924;1038;1094;1321;1023;1023;1080;1306;1363;1397;;;;;
VALENCIA SILLA;FOT;KÖLN-EIFELTOR;FOT;6;3;759;759;939;1064;1307;1568;;;;;;;939;939;1017;1253;1307;1568;1190;1190;1190;1348;1426;1741;1300;1300;1379;1693;1772;1819;;;;;
VIGO GUIXAR;FOT;KÖLN-EIFELTOR;FOT;9;3;822;822;1024;1163;1434;1721;;;;;;;1024;1024;1111;1372;1434;1721;1301;1301;1301;1475;1562;1911;1419;1419;1506;1855;1942;1994;;;;;
ZARAGOZA PLAZA;FOT;KÖLN-EIFELTOR;FOT;7;5;672;672;821;927;1130;1355;;;;;;;821;821;887;1088;1130;1355;1037;1037;1037;1171;1238;1505;1135;1135;1202;1469;1536;1576;;;;;
LUDWIGSHAFEN;FOT;GRANOLLERS;FOT;3;5;561;561;665;745;889;1063;;;;;;;665;665;715;864;889;1063;835;835;835;935;985;1184;927;927;977;1176;1226;1256;;;;;
LUDWIGSHAFEN;FOT;MADRID ABROÑIGAL;FOT;4;4;661;661;806;910;1107;1328;;;;;;;806;806;871;1067;1107;1328;1018;1018;1018;1148;1214;1475;1114;1114;1179;1441;1506;1545;;;;;
LUDWIGSHAFEN;FOT;MURCIA;FOT;8;4;766;766;949;1076;1322;1586;;;;;;;949;949;1028;1267;1322;1586;1203;1203;1203;1363;1442;1761;1314;1314;1394;1712;1792;1840;;;;;
LUDWIGSHAFEN;FOT;SAN ROQUE;FOT;7;4;856;856;1070;1217;1504;1804;;;;;;;1070;1070;1162;1437;1504;1804;1361;1361;1361;1545;1637;2004;1484;1484;1576;1943;2035;2090;;;;;
LUDWIGSHAFEN;FOT;SEVILLA LA NEGRILLA;FOT;7;4;819;819;1020;1159;1429;1714;;;;;;;1020;1020;1107;1367;1429;1714;1296;1296;1296;1470;1557;1904;1414;1414;1501;1848;1935;1987;;;;;
LUDWIGSHAFEN;FOT;TARRAGONA CONSTANTÍ;FOT;3;5;587;587;701;786;942;1127;;;;;;;701;701;754;914;942;1127;882;882;882;988;1042;1255;977;977;1030;1244;1297;1329;;;;;
LUDWIGSHAFEN;FOT;VALENCIA SILLA;FOT;8;4;732;732;902;1021;1251;1501;;;;;;;902;902;976;1201;1251;1501;1142;1142;1142;1292;1367;1667;1248;1248;1323;1623;1698;1743;;;;;
LUDWIGSHAFEN;FOT;VIGO GUIXAR;FOT;8;4;795;795;988;1121;1380;1656;;;;;;;988;988;1071;1322;1380;1656;1254;1254;1254;1421;1505;1839;1369;1369;1452;1786;1870;1920;;;;;
LUDWIGSHAFEN;FOT;ZARAGOZA PLAZA;FOT;6;4;646;646;786;887;1078;1293;;;;;;;786;786;849;1040;1078;1293;992;992;992;1119;1182;1436;1087;1087;1150;1404;1467;1505;;;;;
GRANOLLERS;FOT;LUDWIGSHAFEN;FOT;3;5;561;561;665;745;889;1063;;;;;;;665;665;715;864;889;1063;835;835;835;935;985;1184;927;927;977;1176;1226;1256;;;;;
MADRID ABROÑIGAL;FOT;LUDWIGSHAFEN;FOT;5;5;661;661;806;910;1107;1328;;;;;;;806;806;871;1067;1107;1328;1018;1018;1018;1148;1214;1475;1114;1114;1179;1441;1506;1545;;;;;
MURCIA;FOT;LUDWIGSHAFEN;FOT;7;2;766;766;949;1076;1322;1586;;;;;;;949;949;1028;1267;1322;1586;1203;1203;1203;1363;1442;1761;1314;1314;1394;1712;1792;1840;;;;;
SAN ROQUE;FOT;LUDWIGSHAFEN;FOT;7;3;856;856;1070;1217;1504;1804;;;;;;;1070;1070;1162;1437;1504;1804;1361;1361;1361;1545;1637;2004;1484;1484;1576;1943;2035;2090;;;;;
SEVILLA LA NEGRILLA;FOT;LUDWIGSHAFEN;FOT;5;3;819;819;1020;1159;1429;1714;;;;;;;1020;1020;1107;1367;1429;1714;1296;1296;1296;1470;1557;1904;1414;1414;1501;1848;1935;1987;;;;;
TARRAGONA CONSTANTÍ;FOT;LUDWIGSHAFEN;FOT;3;5;587;587;701;786;942;1127;;;;;;;701;701;754;914;942;1127;882;882;882;988;1042;1255;977;977;1030;1244;1297;1329;;;;;
VALENCIA SILLA;FOT;LUDWIGSHAFEN;FOT;6;3;732;732;902;1021;1251;1501;;;;;;;902;902;976;1201;1251;1501;1142;1142;1142;1292;1367;1667;1248;1248;1323;1623;1698;1743;;;;;
VIGO GUIXAR;FOT;LUDWIGSHAFEN;FOT;9;3;795;795;988;1121;1380;1656;;;;;;;988;988;1071;1322;1380;1656;1254;1254;1254;1421;1505;1839;1369;1369;1452;1786;1870;1920;;;;;
ZARAGOZA PLAZA;FOT;LUDWIGSHAFEN;FOT;7;5;646;646;786;887;1078;1293;;;;;;;786;786;849;1040;1078;1293;992;992;992;1119;1182;1436;1087;1087;1150;1404;1467;1505;;;;;
LUDWIGSHAFEN;FOT;BARCELONA MORROT;FOT;3;3;561;561;665;745;889;1063;;;;;;;665;665;715;864;889;1063;835;835;835;935;985;1184;927;927;977;1176;1226;1256;;;;;
BARCELONA MORROT;FOT;LUDWIGSHAFEN;FOT;2;3;561;561;665;745;889;1063;;;;;;;665;665;715;864;889;1063;835;835;835;935;985;1184;927;927;977;1176;1226;1256;;;;;
HOJE TAASTRUP;FOT;BARCELONA MORROT;FOT;8;4;1123;1123;1227;1505;1649;1823;;;;;;;1406;1406;1456;1736;1761;1935;1849;1849;1849;1949;1999;2198;1941;1941;1991;2190;2240;2270;;;;;
BARCELONA MORROT;FOT;HOJE TAASTRUP;FOT;8;4;1123;1123;1227;1505;1649;1823;;;;;;;1406;1406;1456;1736;1761;1935;1849;1849;1849;1949;1999;2198;1941;1941;1991;2190;2240;2270;;;;;
HOJE TAASTRUP;FOT;MADRID ABROÑIGAL;FOT;8;4;1203;1203;1357;1640;1849;2080;;;;;;;1516;1516;1585;1908;1952;2183;1976;1976;1976;2114;2182;2457;2076;2076;2145;2419;2488;2529;;;;;
MADRID ABROÑIGAL;FOT;HOJE TAASTRUP;FOT;8;4;1203;1203;1357;1640;1849;2080;;;;;;;1516;1516;1585;1908;1952;2183;1976;1976;1976;2114;2182;2457;2076;2076;2145;2419;2488;2529;;;;;
RÖNLAND;FOT;BARCELONA MORROT;FOT;7;2;1337;1337;1441;1719;1863;2037;;;;;;;1791;1791;1841;2123;2148;2322;2355;2355;2355;2455;2505;2704;2447;2447;2497;2696;2746;2776;;;;;
BARCELONA MORROT;FOT;RÖNLAND;FOT;7;2;1337;1337;1441;1719;1863;2037;;;;;;;1791;1791;1841;2123;2148;2322;2355;2355;2355;2455;2505;2704;2447;2447;2497;2696;2746;2776;;;;;
RÖNLAND;FOT;MADRID ABROÑIGAL;FOT;8;2;1412;1412;1566;1849;2058;2289;;;;;;;1891;1891;1960;2283;2327;2558;2482;2482;2482;2620;2688;2963;2582;2582;2651;2925;2994;3035;;;;;
MADRID ABROÑIGAL;FOT;RÖNLAND;FOT;8;2;1412;1412;1566;1849;2058;2289;;;;;;;1891;1891;1960;2283;2327;2558;2482;2482;2482;2620;2688;2963;2582;2582;2651;2925;2994;3035;;;;;
TAULOV;FOT;BARCELONA MORROT;FOT;7;5;1007;1007;1111;1394;1538;1712;;;;;;;1259;1259;1309;1581;1606;1780;1650;1650;1650;1750;1800;1999;1742;1742;1792;1991;2041;2071;;;;;
BARCELONA MORROT;FOT;TAULOV;FOT;7;5;1007;1007;1111;1394;1538;1712;;;;;;;1259;1259;1309;1581;1606;1780;1650;1650;1650;1750;1800;1999;1742;1742;1792;1991;2041;2071;;;;;
TAULOV;FOT;MADRID ABROÑIGAL;FOT;8;5;1082;1082;1236;1524;1733;1964;;;;;;;1359;1359;1428;1741;1785;2016;1777;1777;1777;1915;1983;2258;1877;1877;1946;2220;2289;2330;;;;;
MADRID ABROÑIGAL;FOT;TAULOV;FOT;8;5;1082;1082;1236;1524;1733;1964;;;;;;;1359;1359;1428;1741;1785;2016;1777;1777;1777;1915;1983;2258;1877;1877;1946;2220;2289;2330;;;;;
HAMBURG BILLWERDER;FOT;LYON VÉNISSIEUX;FOT;3;6;509;509;561;727;858;924;;;;;;;509;509;594;727;858;924;678;678;711;911;911;977;910;910;943;1107;1107;1107;;;;;
LYON VÉNISSIEUX;FOT;HAMBURG BILLWERDER;FOT;3;5;509;509;561;727;858;924;;;;;;;509;509;594;727;858;924;678;678;711;911;911;977;910;910;943;1107;1107;1107;;;;;
DUISBURG RUHRORT HAFEN;FOT;LYON VÉNISSIEUX;FOT;2;5;342;342;394;460;591;657;;;;;;;342;342;427;460;591;657;427;427;460;591;591;657;577;577;610;774;744;744;;;;;
LYON VÉNISSIEUX;FOT;DUISBURG RUHRORT HAFEN;FOT;2;5;342;342;394;460;591;657;;;;;;;342;342;427;460;591;657;427;427;460;591;591;657;577;577;610;774;744;744;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NAVILAND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORIGIN;INC;DESTINATION;INC;TTE;FREQUENCE;20' E;20' F;20' F;20' F;20' F;20' F;;;;;;;;;;;;;40' E;40' F;40' F;40' F;40' F;40' F;;;;;;;;;;;
ANTWERPEN PSA QUAI 913;FOT;PARIS VALENTON;FOT;2;5;350;350;350;350;350;350;;;;;;;;;;;;;420;420;420;420;420;420;;;;;;;;;;;
PARIS VALENTON;FOT;ANTWERPEN PSA QUAI 913;FOT;3;5;350;350;350;350;350;350;;;;;;;;;;;;;420;420;420;420;420;420;;;;;;;;;;;
PARIS VALENTON;FOT;LE HAVRE (QUAYS);FOT;2;5;107;201;201;201;201;234;;;;;;;;;;;;;157;234;234;234;234;234;;;;;;;;;;;
LE HAVRE (QUAYS);FOT;PARIS VALENTON;FOT;2;5;107;201;201;201;201;234;;;;;;;;;;;;;157;234;234;234;234;234;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHUTTLEWISE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORIGIN;INC;DESTINATION;INC;TTE;FREQUENCE;20' F (< 8tn);20' F (< 8tn);20' F (< 16,5tn);20' F (< 22tn);20' F (< 34tn);20' F (< 34tn);25' F (< 8tn);25' F (< 8tn);25' F (< 16,5tn);25' F (< 22tn);25' F (< 34tn);25' F (< 34tn);30' F (< 8tn);30' F (< 8tn);30' F (< 16,5tn);30' F (< 22tn);30' F (< 34tn);30' F (< 34tn);40' F (< 8tn);40' F (< 8tn);40' F (< 16,5tn);40' F (< 22tn);40' F (< 34tn);40' F (< 34tn);45' F (< 8tn);45' F (< 8tn);45' F (< 16,5tn);45' F (< 22tn);45' F (< 34tn);45' F (< 34tn);;;;;
ROTTERDAM RSC;FOT;MORTARA;FOT;3;6;340;340;560;560;560;560;360;360;580;580;580;580;370;370;590;590;590;590;440;440;630;630;630;630;500;500;660;660;660;660;;;;;
MORTARA;FOT;ROTTERDAM RSC;FOT;3;6;340;340;560;560;560;560;360;360;580;580;580;580;370;370;590;590;590;590;440;440;630;630;630;630;500;500;660;660;660;660;;;;;
KREFELD;FOT;MORTARA;FOT;3;5;340;340;550;550;550;550;360;360;580;580;580;580;380;380;590;590;590;590;430;430;600;600;600;600;490;490;630;630;630;630;;;;;
MORTARA;FOT;KREFELD;FOT;3;5;340;340;550;550;550;550;360;360;580;580;580;580;380;380;590;590;590;590;430;430;600;600;600;600;490;490;630;630;630;630;;;;;
GENT;FOT;MORTARA;FOT;3;5;340;340;550;550;550;550;360;360;580;580;580;580;380;380;590;590;590;590;430;430;600;600;600;600;490;490;630;630;630;630;;;;;
MORTARA;FOT;GENT;FOT;3;5;340;340;550;550;550;550;360;360;580;580;580;580;380;380;590;590;590;590;430;430;600;600;600;600;490;490;630;630;630;630;;;;;
KREFELD;FOT;MELZO;FOT;3;3;340;340;550;550;550;550;360;360;580;580;580;580;380;380;590;590;590;590;430;430;600;600;600;600;490;490;630;630;630;630;;;;;
MELZO;FOT;KREFELD;FOT;3;3;340;340;550;550;550;550;360;360;580;580;580;580;380;380;590;590;590;590;430;430;600;600;600;600;490;490;630;630;630;630;;;;;
ROTTERDAM RSC;FOT;ANTWERPEN MAINHUB;FOT;2;5;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;;;;;
ANTWERPEN MAINHUB;FOT;ROTTERDAM RSC;FOT;2;5;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;;;;;
ROTTERDAM RSC;FOT;DOURGES LDCT;FOT;2;5;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;250;250;250;250;250;250;250;250;250;250;250;250;;;;;
DOURGES LDCT;FOT;ROTTERDAM RSC;FOT;2;5;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;250;250;250;250;250;250;250;250;250;250;250;250;;;;;
ROTTERDAM MVT;FOT;DOURGES LDCT;FOT;2;5;285;285;285;285;285;285;285;285;285;285;285;285;285;285;285;285;285;285;310;310;310;310;310;310;310;310;310;310;310;310;;;;;
DOURGES LDCT;FOT;ROTTERDAM MVT;FOT;2;5;285;285;285;285;285;285;285;285;285;285;285;285;285;285;285;285;285;285;310;310;310;310;310;310;310;310;310;310;310;310;;;;;
ANTWERPEN MAINHUB;FOT;DOURGES LDCT;FOT;2;5;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;;;;;
DOURGES LDCT;FOT;ANTWERPEN MAINHUB;FOT;2;5;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;;;;;
ANTWERPEN MAINHUB;FOT;LOVOSICE;FOT;2;2;360;360;400;460;580;580;420;420;460;580;580;580;420;420;460;580;580;580;540;540;580;710;710;710;710;710;710;710;710;710;;;;;
LOVOSICE;FOT;ANTWERPEN MAINHUB;FOT;3;2;360;360;400;460;580;580;420;420;460;580;580;580;420;420;460;580;580;580;540;540;580;710;710;710;710;710;710;710;710;710;;;;;
ANTWERPEN MAINHUB;FOT;VIENNA;FOT;3;2;400;400;460;570;690;690;500;500;540;610;690;690;500;500;540;610;690;690;620;620;650;690;770;770;690;690;770;880;880;880;;;;;
VIENNA;FOT;ANTWERPEN MAINHUB;FOT;3;2;400;400;460;570;690;690;500;500;540;610;690;690;500;500;540;610;690;690;620;620;650;690;770;770;690;690;770;880;880;880;;;;;
DUISBURG DIT;FOT;DOURGES LDCT;FOT;2;5;395;395;395;395;395;395;425;425;425;425;425;425;425;425;425;425;425;425;470;470;470;470;470;470;490;490;490;490;490;490;;;;;
DOURGES LDCT;FOT;DUISBURG DIT;FOT;2;5;395;395;395;395;395;395;425;425;425;425;425;425;425;425;425;425;425;425;470;470;470;470;470;470;490;490;490;490;490;490;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORIGIN;INC;DESTINATION;INC;TTE;FREQUENCE;20' E;20' F (<=22tn);20' F (<=22tn);20' F (<=22tn);20' F (<=30tn);20' F (>30tn);;;;;;;30' E;30' F (<=30tn);30' F (<=30tn);30' F (<=30tn);30' F (>30tn);30' F (>30tn);40' E;40' F;40' F;40' F;40' F;40' F;45' E;45' F;45' F;45' F;45' F;45' F;;20' E;30' E;40' E;45' E
ROTTERDAM CTT;FOT;FRANKFURT ODER;FOT;2;8;;254;254;254;359;464;;;;;;;;359;359;359;464;464;;464;464;464;464;464;;464;464;464;464;464;;194;294;394;394
ROTTERDAM CTT;FOT;POZNAN;FOT;3;3;;304;304;304;434;564;;;;;;;;434;434;434;564;564;;564;564;564;564;564;;564;564;564;564;564;;244;344;444;444
ROTTERDAM CTT;FOT;KUTNO;FOT;3;8;;344;344;344;494;644;;;;;;;;494;494;494;644;644;;644;644;644;644;644;;644;644;644;644;644;;294;394;494;494
ROTTERDAM CTT;FOT;BRZEG DOLNY;FOT;3;8;;344;344;344;494;644;;;;;;;;494;494;494;644;644;;644;644;644;644;644;;644;644;644;644;644;;294;394;494;494
ROTTERDAM CTT;FOT;GLIWICE;FOT;4;8;;394;394;394;569;744;;;;;;;;569;569;569;744;744;;744;744;744;744;744;;744;744;744;744;744;;294;394;494;494
ROTTERDAM CTT;FOT;KOLBUSZOWA;FOT;4;8;;444;444;444;644;844;;;;;;;;644;644;644;844;844;;844;844;844;844;844;;844;844;844;844;844;;294;394;494;494
ROTTERDAM CTT;FOT;BREST;FOT;5;2;;544;544;544;744;944;;;;;;;;744;744;744;944;944;;944;944;944;944;944;;944;944;944;944;944;;394;494;594;594
FRANKFURT ODER;FOT;ROTTERDAM CTT;FOT;2;8;;254;254;254;359;464;;;;;;;;359;359;359;464;464;;464;464;464;464;464;;464;464;464;464;464;;194;294;394;394
POZNAN;FOT;ROTTERDAM CTT;FOT;3;2;;304;304;304;434;564;;;;;;;;434;434;434;564;564;;564;564;564;564;564;;564;564;564;564;564;;244;344;444;444
KUTNO;FOT;ROTTERDAM CTT;FOT;3;8;;344;344;344;494;644;;;;;;;;494;494;494;644;644;;644;644;644;644;644;;644;644;644;644;644;;294;394;494;494
BRZEG DOLNY;FOT;ROTTERDAM CTT;FOT;4;8;;344;344;344;494;644;;;;;;;;494;494;494;644;644;;644;644;644;644;644;;644;644;644;644;644;;294;394;494;494
GLIWICE;FOT;ROTTERDAM CTT;FOT;4;8;;394;394;394;569;744;;;;;;;;569;569;569;744;744;;744;744;744;744;744;;744;744;744;744;744;;294;394;494;494
KOLBUSZOWA;FOT;ROTTERDAM CTT;FOT;4;8;;444;444;444;644;844;;;;;;;;644;644;644;844;844;;844;844;844;844;844;;844;844;844;844;844;;294;394;494;494
BREST;FOT;ROTTERDAM CTT;FOT;5;2;;544;544;544;744;944;;;;;;;;744;744;744;944;944;;944;944;944;944;944;;944;944;944;944;944;;394;494;594;594
ANTWERPEN Q1700;FOT;FRANKFURT ODER;FOT;3;3;;304;304;304;434;564;;;;;;;;434;434;434;564;564;;564;564;564;564;564;;564;564;564;564;564;;234;354;474;474
ANTWERPEN Q1701;FOT;POZNAN;FOT;5;3;;354;354;354;509;664;;;;;;;;509;509;509;664;664;;664;664;664;664;664;;664;664;664;664;664;;284;404;524;524
ANTWERPEN Q1702;FOT;KUTNO;FOT;4;3;;394;394;394;569;744;;;;;;;;569;569;569;744;744;;744;744;744;744;744;;744;744;744;744;744;;334;454;574;574
ANTWERPEN Q1703;FOT;BRZEG DOLNY;FOT;4;3;;394;394;394;569;744;;;;;;;;569;569;569;744;744;;744;744;744;744;744;;744;744;744;744;744;;334;454;574;574
ANTWERPEN Q1704;FOT;GLIWICE;FOT;5;3;;444;444;444;644;844;;;;;;;;644;644;644;844;844;;844;844;844;844;844;;844;844;844;844;844;;334;454;574;574
ANTWERPEN Q1705;FOT;KOLBUSZOWA;FOT;6;3;;494;494;494;719;944;;;;;;;;719;719;719;944;944;;944;944;944;944;944;;944;944;944;944;944;;334;454;574;574
ANTWERPEN Q1706;FOT;BREST;FOT;6;2;;594;594;594;819;1044;;;;;;;;819;819;819;1044;1044;;1044;1044;1044;1044;1044;;1044;1044;1044;1044;1044;;434;554;674;674
FRANKFURT ODER;FOT;ANTWERPEN Q1700;FOT;6;3;;304;304;304;434;564;;;;;;;;434;434;434;564;564;;564;564;564;564;564;;564;564;564;564;564;;234;354;474;474
POZNAN;FOT;ANTWERPEN Q1701;FOT;6;3;;354;354;354;509;664;;;;;;;;509;509;509;664;664;;664;664;664;664;664;;664;664;664;664;664;;284;404;524;524
KUTNO;FOT;ANTWERPEN Q1702;FOT;7;3;;394;394;394;569;744;;;;;;;;569;569;569;744;744;;744;744;744;744;744;;744;744;744;744;744;;334;454;574;574
BRZEG DOLNY;FOT;ANTWERPEN Q1703;FOT;7;3;;394;394;394;569;744;;;;;;;;569;569;569;744;744;;744;744;744;744;744;;744;744;744;744;744;;334;454;574;574
GLIWICE;FOT;ANTWERPEN Q1704;FOT;7;3;;444;444;444;644;844;;;;;;;;644;644;644;844;844;;844;844;844;844;844;;844;844;844;844;844;;334;454;574;574
KOLBUSZOWA;FOT;ANTWERPEN Q1705;FOT;7;3;;494;494;494;719;944;;;;;;;;719;719;719;944;944;;944;944;944;944;944;;944;944;944;944;944;;334;454;574;574
BREST;FOT;ANTWERPEN Q1706;FOT;6;2;;594;594;594;819;1044;;;;;;;;819;819;819;1044;1044;;1044;1044;1044;1044;1044;;1044;1044;1044;1044;1044;;434;554;674;674
DUISBURG DIT;FOT;FRANKFURT ODER;FOT;2;3;;194;194;194;269;344;;;;;;;;269;269;269;344;344;;344;344;344;344;344;;344;344;344;344;344;;164;224;284;284
DUISBURG DIT;FOT;POZNAN;FOT;3;3;;244;244;244;344;444;;;;;;;;344;344;344;444;444;;444;444;444;444;444;;444;444;444;444;444;;224;314;404;404
DUISBURG DIT;FOT;KUTNO;FOT;3;3;;294;294;294;419;544;;;;;;;;419;419;419;544;544;;544;544;544;544;544;;544;544;544;544;544;;264;374;484;484
DUISBURG DIT;FOT;BRZEG DOLNY;FOT;3;3;;294;294;294;419;544;;;;;;;;419;419;419;544;544;;544;544;544;544;544;;544;544;544;544;544;;264;374;484;484
DUISBURG DIT;FOT;GLIWICE;FOT;4;3;;344;344;344;494;644;;;;;;;;494;494;494;644;644;;644;644;644;644;644;;644;644;644;644;644;;264;374;484;484
